Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Local and global feature selection for multilabel classification with binary relevance","Artificial Intelligence Review","","","","10.1007/s10462-017-9556-4","André MeloHeiko Paulheim","2017","http://link.springer.com/article/10.1007/s10462-017-9556-4","Article"
"A characterisation of verification tools for software defined networks","Journal of Reliable Intelligent Environments","","3","3","10.1007/s40860-017-0045-y","Leticia LavadoLaura PanizoMaría-del-Mar GallardoPedro Merino","2017","http://link.springer.com/article/10.1007/s40860-017-0045-y","Article"
"Tree-based methods for online multi-target regression","Journal of Intelligent Information Systems","","50","2","10.1007/s10844-017-0462-7","Aljaž OsojnikPanče PanovSašo Džeroski","2018","http://link.springer.com/article/10.1007/s10844-017-0462-7","Article"
"Self-adaptive concurrent components","Automated Software Engineering","","25","1","10.1007/s10515-017-0219-0","Erik ÖsterlundWelf Löwe","2018","http://link.springer.com/article/10.1007/s10515-017-0219-0","Article"
"BFSPMiner: an effective and efficient batch-free algorithm for mining sequential patterns over data streams","International Journal of Data Science and Analytics","","","","10.1007/s41060-017-0084-8","Marwan HassaniDaniel TöwsAlfredo CuzzocreaThomas Seidl","2017","http://link.springer.com/article/10.1007/s41060-017-0084-8","Article"
"Video abstraction using density-based clustering algorithm","The Visual Computer","","","","10.1007/s00371-017-1432-3","Fereshteh Falah ChamasemaniLilly Suriani AffendeyNorwati MustaphaFatimah Khalid","2017","http://link.springer.com/article/10.1007/s00371-017-1432-3","Article"
"Automatic semantic edge labeling over legal citation graphs","Artificial Intelligence and Law","","","","10.1007/s10506-018-9217-1","Ali SadeghianLaksshman SundaramDaisy Zhe WangWilliam F. HamiltonKarl BrantingCraig Pfeifer","2018","http://link.springer.com/article/10.1007/s10506-018-9217-1","Article"
"Semantic Decomposition and Recognition of Long and Complex Manipulation Action Sequences","International Journal of Computer Vision","","122","1","10.1007/s11263-016-0956-8","Eren Erdal AksoyAdil OrhanFlorentin Wörgötter","2017","http://link.springer.com/article/10.1007/s11263-016-0956-8","Article"
"Taxonomy of DoS and DDoS attacks and desirable defense mechanism in a Cloud computing environment","Neural Computing and Applications","","28","12","10.1007/s00521-016-2317-5","B. B. GuptaOmkar P. Badve","2017","http://link.springer.com/article/10.1007/s00521-016-2317-5","Article"
"Exposing the probabilistic causal structure of discrimination","International Journal of Data Science and Analytics","","3","1","10.1007/s41060-016-0040-z","Francesco BonchiSara HajianBud MishraDaniele Ramazzotti","2017","http://link.springer.com/article/10.1007/s41060-016-0040-z","Article"
"Preserving differential privacy in convolutional deep belief networks","Machine Learning","","106","9 - 10","10.1007/s10994-017-5656-2","NhatHai PhanXintao WuDejing Dou","2017","http://link.springer.com/article/10.1007/s10994-017-5656-2","Article"
"Identifying Market Behaviours Using European Stock Index Time Series by a Hybrid Segmentation Algorithm","Neural Processing Letters","","46","3","10.1007/s11063-017-9592-8","Antonio M. Durán-RosalMónica de la Paz-MarínPedro A. GutiérrezCésar Hervás-Martínez","2017","http://link.springer.com/article/10.1007/s11063-017-9592-8","Article"
"Leaf Recognition Based on DPCNN and BOW","Neural Processing Letters","","47","1","10.1007/s11063-017-9635-1","Zhaobin WangXiaoguang SunZekun YangYaonan ZhangYing ZhuYide Ma","2018","http://link.springer.com/article/10.1007/s11063-017-9635-1","Article"
"Meta-path-based link prediction in schema-rich heterogeneous information network","International Journal of Data Science and Analytics","","3","4","10.1007/s41060-017-0046-1","Xiaohuan CaoYuyan ZhengChuan ShiJingzhi LiBin Wu","2017","http://link.springer.com/article/10.1007/s41060-017-0046-1","Article"
"Clustering technique for large-scale home care crew scheduling problems","Applied Intelligence","","47","2","10.1007/s10489-017-0908-1","David QuintanaAlejandro CervantesYago SaezPedro Isasi","2017","http://link.springer.com/article/10.1007/s10489-017-0908-1","Article"
"HierFlat: flattened hierarchies for improving top-down hierarchical classification","International Journal of Data Science and Analytics","","4","3","10.1007/s41060-017-0070-1","Azad NaikHuzefa Rangwala","2017","http://link.springer.com/article/10.1007/s41060-017-0070-1","Article"
"Comparison of artificial neural networks, fuzzy logic and neuro fuzzy for predicting optimization of building thermal consumption: a survey","Artificial Intelligence Review","","","","10.1007/s10462-018-9630-6","Zahra PezeshkiSayyed Majid Mazinani","2018","http://link.springer.com/article/10.1007/s10462-018-9630-6","Article"
"An adaptive algorithm for anomaly and novelty detection in evolving data streams","Data Mining and Knowledge Discovery","","","","10.1007/s10618-018-0571-0","Mohamed-Rafik BougueliaSlawomir NowaczykAmir H. Payberah","2018","http://link.springer.com/article/10.1007/s10618-018-0571-0","Article"
"Model mining","Journal of Intelligent Information Systems","","","","10.1007/s10844-017-0474-3","Antonio Cerone","2017","http://link.springer.com/article/10.1007/s10844-017-0474-3","Article"
"Free-Hand Sketch Synthesis with Deformable Stroke Models","International Journal of Computer Vision","","122","1","10.1007/s11263-016-0963-9","Yi LiYi-Zhe SongTimothy M. HospedalesShaogang Gong","2017","http://link.springer.com/article/10.1007/s11263-016-0963-9","Article"
"Knowledge elicitation via sequential probabilistic inference for high-dimensional prediction","Machine Learning","","106","9 - 10","10.1007/s10994-017-5651-7","Pedram DaeeTomi PeltolaMarta SoareSamuel Kaski","2017","http://link.springer.com/article/10.1007/s10994-017-5651-7","Article"
